PORÓWNANIE ALGORYTMÓW - dolne ograniczenie [liczba elementów];
N \ Seria danych;Asymptotyczny Schemat Aproksymacyjny;
1000;1,12564558124521;
2000;1,1445072537595;
3000;1,15032349663318;
4000;1,14220995921001;
5000;1,15472796621985;
6000;1,14525400016675;
7000;1,13650430014707;
8000;1,1394900804954;
9000;1,12788059098943;
10000;1,13024316011704;
11000;1,15053495060345;
12000;1,15138369590367;
13000;1,13668667260273;
14000;1,13917724441546;
15000;1,12588247243612;
16000;1,14351712753366;
17000;1,15176633915854;
18000;1,14241955703017;
19000;1,12989592010427;
20000;1,1426538401905;
