PORÓWNANIE ALGORYTMÓW - wynik [liczba elementów];
N \ Seria danych;Asymptotyczny Schemat Aproksymacyjny;
1000;477;
2000;932;
3000;1395;
4000;1699;
5000;2321;
6000;2946;
7000;3149;
8000;3585;
9000;4132;
10000;4769;
11000;4898;
12000;5421;
13000;5872;
14000;6649;
15000;6796;
16000;7263;
17000;8273;
18000;8048;
19000;8717;
20000;9069;
