PORÓWNANIE ALGORYTMÓW - czas działania [ms];
N \ Seria danych;Asymptotyczny Schemat Aproksymacyjny;
1000;172;
2000;119;
3000;112;
4000;151;
5000;154;
6000;169;
7000;196;
8000;173;
9000;175;
10000;221;
11000;211;
12000;224;
13000;240;
14000;237;
15000;234;
16000;254;
17000;264;
18000;322;
19000;286;
20000;315;
