PORÓWNANIE ALGORYTMÓW - czas działania [ms];
N \ Seria danych;Asymptotyczny Schemat Aproksymacyjny;
1000;13;
2000;18;
3000;19;
4000;24;
5000;30;
6000;33;
7000;39;
8000;48;
9000;52;
10000;57;
11000;67;
12000;74;
13000;85;
14000;92;
15000;104;
16000;114;
17000;126;
18000;138;
19000;150;
20000;160;
