PORÓWNANIE ALGORYTMÓW - wynik [liczba elementów];
N \ Seria danych;Asymptotyczny Schemat Aproksymacyjny;
1000;417;
2000;887;
3000;1344;
4000;1741;
5000;2124;
6000;2636;
7000;3041;
8000;3442;
9000;3928;
10000;4075;
11000;4555;
12000;5181;
13000;5623;
14000;5985;
15000;6447;
16000;6555;
17000;7150;
18000;7725;
19000;8065;
20000;8519;
