PORÓWNANIE ALGORYTMÓW - czas działania [ms];
N \ Seria danych;Next Fit;First Fit;Best Fit;First Fit Decreasing;Best Fit Decreasing;Random Fit;
1000;0;77;95;81;111;88;
2000;0;330;374;330;442;351;
3000;1;700;785;707;951;763;
4000;1;1322;1501;1349;1813;1478;
5000;1;1993;2255;1973;2700;2180;
