PORÓWNANIE ALGORYTMÓW - silniejsze dolne ograniczenie [liczba elementów];
N \ Seria danych;Asymptotyczny Schemat Aproksymacyjny;
1000;9,00066148354622;
2000;9,20826769175716;
3000;10,071505697362;
4000;9,82683059193388;
5000;10,3601462085301;
6000;8,43538710226416;
7000;7,64374782806215;
8000;8,11909340128426;
9000;7,76841913588228;
10000;8,24679970027795;
11000;7,92453813752491;
12000;7,37165216110694;
13000;8,0890685648236;
14000;9,51634922817899;
15000;8,25427000965362;
16000;8,30612128828505;
17000;8,21836479257493;
18000;8,2471589989409;
19000;8,37467616455522;
20000;8,4924910863445;
