PORÓWNANIE ALGORYTMÓW - silniejsze dolne ograniczenie [liczba elementów];
N \ Seria danych;Next Fit;First Fit;Best Fit;First Fit Decreasing;Best Fit Decreasing;Random Fit;
1000;27,9527967864362;10,457760539368;10,1568079128117;0,154990964271061;0,154990964271061;5,01767263241916;
2000;25,9485494902122;9,31897546799166;9,10886514889459;0,0846066922590019;0,0846066922590019;3,66254499242945;
3000;26,4078717133007;9,57490628355601;9,37805265546546;0,112410525307168;0,112410525307168;3,78904607526211;
4000;24,3621695982146;8,4398052653099;8,26639563477894;0,0329153843110754;0,0329153843110754;3,01103431236607;
5000;26,0072776584479;9,21181329083754;9,00703684506505;0,0529549309312627;0,0529549309312627;3,73020457130704;
