PORÓWNANIE ROZKŁADÓW - silniejsze dolne ograniczenie [liczba elementów];
N \ Seria danych;normalny;wykładniczy;jednostajny;
1000;12,236246062385;4,95119552638882;9,76006831101471;
2000;10,8958855859112;4,2248441751808;8,98334448093095;
3000;11,9141770003241;3,59814784971261;9,17502403906259;
4000;8,91624879527866;4,08062931092241;9,07573968344478;
5000;11,3046879866099;3,5181084961397;9,20832463101043;
