PORÓWNANIE SORTOWANIA - silniejsze dolne ograniczenie [liczba elementów];
N \ Seria danych;brak;rosnąco;malejąco;
1000;6,38312475686286;14,9302653500225;5,6341197929032;
2000;5,53313144969747;13,588495972057;4,98244682026851;
3000;5,65835477919334;13,9031009888984;5,12589312100754;
4000;4,94364543881983;12,5749230918028;4,55404925902319;
5000;5,44428875727417;13,6053315747279;4,98150078175792;
