PORÓWNANIE ALGORYTMÓW - czas działania [ms];
N \ Seria danych;Asymptotyczny Schemat Aproksymacyjny;
1000;7;
2000;9;
3000;14;
4000;15;
5000;22;
6000;27;
7000;32;
8000;37;
9000;45;
10000;58;
11000;63;
12000;76;
13000;88;
14000;95;
15000;111;
16000;121;
17000;147;
18000;149;
19000;169;
20000;173;
