PORÓWNANIE ALGORYTMÓW - wynik [liczba elementów];
N \ Seria danych;Asymptotyczny Schemat Aproksymacyjny;
1000;459;
2000;852;
3000;1335;
4000;1675;
5000;2088;
6000;2618;
7000;3005;
8000;3350;
9000;3655;
10000;4343;
11000;4862;
12000;5128;
13000;5542;
14000;5880;
15000;6421;
16000;6883;
17000;7396;
18000;7709;
19000;8255;
20000;8564;
